residence,speak_russian,does_not_speak_russian,average
Archib,39,65,0.375
Arkhit,12,3,0.8
Balkhar,59,48,0.5514018691588785
Chabanmakhi,24,17,0.5853658536585366
Chankurbe,34,30,0.53125
Chirag,43,24,0.6417910447761194
Chitab,18,18,0.5
Chumli,23,10,0.696969696969697
Chuni,65,37,0.6372549019607843
Darvag,26,42,0.38235294117647056
Dorgeli,34,12,0.7391304347826086
Durangi,12,15,0.4444444444444444
Dyubek,30,32,0.4838709677419355
Dzhavgat,79,37,0.6810344827586207
Ersi,33,34,0.4925373134328358
Gel'mets,37,56,0.3978494623655914
Khiv,19,7,0.7307692307692307
Kina,34,30,0.53125
Kizhani,32,23,0.5818181818181818
Kug,12,5,0.7058823529411765
Kuli,25,14,0.6410256410256411
Laka,10,8,0.5555555555555556
Mallakent,13,11,0.5416666666666666
Megeb,73,58,0.5572519083969466
Mukar,18,20,0.47368421052631576
Obokh,23,22,0.5111111111111111
Richa,21,14,0.6
Rikvani,43,30,0.589041095890411
Shalib,19,17,0.5277777777777778
Shangoda,40,18,0.6896551724137931
Shukty,36,21,0.631578947368421
Tsukhta,48,57,0.45714285714285713
Tsulikana,26,20,0.5652173913043478
Tumenler,10,5,0.6666666666666666
Ubekimakhi,25,38,0.3968253968253968
Uri,14,8,0.6363636363636364
Yangikent,26,13,0.6666666666666666
Zilo,40,45,0.47058823529411764
